Province,Police Station,Crime,Year,Incidents
KZN,Durban Central,All theft not mentioned elsewhere,2014,3397
KZN,Durban Central,Drug-related crime,2014,2528
KZN,Utrecht,All theft not mentioned elsewhere,2014,2085
KZN,Utrecht,Drug-related crime,2014,2043
WC,Bellville,All theft not mentioned elsewhere,2014,2266
WC,Bishop Lavis,Drug-related crime,2014,2578
WC,Cape Town Central,All theft not mentioned elsewhere,2014,5615
WC,Cape Town Central,Drug-related crime,2014,2150
WC,Cape Town Central,Theft out of or from motor vehicle,2014,3617
WC,Delft,Drug-related crime,2014,2954
WC,Kraaifontein,Drug-related crime,2014,2516
WC,Manenberg,Drug-related crime,2014,3766
WC,Mitchells Plain,All theft not mentioned elsewhere,2014,5029
WC,Mitchells Plain,Common assault,2014,2188
WC,Mitchells Plain,Drug-related crime,2014,6044
WC,Stellenbosch,All theft not mentioned elsewhere,2014,2165
FS,Park Road,All theft not mentioned elsewhere,2014,2940
GP,Brooklyn,All theft not mentioned elsewhere,2014,2473
GP,Eldorado Park,Drug-related crime,2014,3125
GP,Honeydew,All theft not mentioned elsewhere,2014,2612
GP,Johannesburg Central,All theft not mentioned elsewhere,2014,2917
GP,Midrand,All theft not mentioned elsewhere,2014,2007
GP,Pretoria Central,All theft not mentioned elsewhere,2014,3339
GP,Sandton,All theft not mentioned elsewhere,2014,2322
GP,Sunnyside,All theft not mentioned elsewhere,2014,2386
GP,Temba,Drug-related crime,2014,2104
