Name of School,Level of Education,Status of School,Sponsor of School,School Institution Type_1,School Institution Type_2,School Institution Type_3,Pupil Teacher Ratio,Pupil Classroom Ratio,Pupil Toilet Ratio,Total Number of Classrooms,Boys Toilets,Girls Toilets,Total Toilets,Teachers Toilets,Total Boys,Total Girls,Total Enrolment,GOK TSC Male,GOK TSC Female,Local Authority Male,Local Authority Female,PTA BOG Male,PTA BOG Female,Others Male,Others Female,Non-Teaching Staff Male,Non-Teaching Staff Female,Province,County,District,Division,Location,Costituency,Geolocation,KODI_County
NEEMA JUNIOR ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,18.9,22,44,6,1,2,4,1,66,66,132,0,0,0,0,0,0,1,6,0,1,CENTRAL,KIAMBU,THIKA,KAMWANGI,MANGU,GATUNDU NORTH,"(-0.99747, 36.93082)",
GOODWILL JUNIOR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COAST,MOMBASA,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,"(-4.02079, 39.6055)",
KIAMBAA BRIGHT STAR JNR ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,5.8,4.1,7.3,7,2,2,0,1,0,0,29,0,0,0,0,0,0,1,4,0,0,CENTRAL,KIAMBU,KIAMBU,KIAMBAA,KIAMBAA,KIAMBAA,"(-1.16455, 36.76173)",
CHERANGANY FRIENDS ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,11.2,12.6,8.4,8,4,8,0,3,0,0,101,0,0,0,0,0,0,6,3,1,1,RIFT VALLEY,TRANS NZOIA,TRANS NZOIA,CHERANGANY,CHERANGANY,CHERANGANY,"(0.992585, 35.216761)",
KERETO DAY ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,13.1,16.4,21.8,8,3,3,0,2,0,0,131,0,0,0,0,0,0,7,3,2,0,RIFT VALLEY,NAROK,TRANS MARA,KEIYAN,KILGORIS,NKARARO,"(-1.076157, 34.754954)",
JOVIAL ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,EMBAKASI,UMOJA,EMBAKASI,"(-1.28058, 36.90975)",
DAROSS OXFORD PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,19.5,26.8,13.4,8,8,8,0,4,0,0,214,0,0,0,0,0,0,9,2,4,4,RIFT VALLEY,UASIN GISHU,UASIN GISHU,TURBO,ELDORET NORTH,KAMAGUT,"(0.609441, 35.151045)",
NDONGORO PRIMARY,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,31.8,25.8,19.7,16,10,11,0,6,0,0,413,3,8,0,0,2,0,0,0,1,0,CENTRAL,KIAMBU,KIAMBU,KIKUYU,KABETE,KABETE,"(-1.23269, 36.71458)",
SHARPENER CHILDRENS CENTRE - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,11,11,5.5,1,1,1,0,1,7,4,11,0,0,0,0,0,0,0,1,0,0,NAIROBI,NAIROBI,NAIROBI,KASARANI,RUARAKA,KASARANI,"(-1.248647, 36.874616)",
ROCK ACADEMY PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,4.3,10,15,3,1,1,0,1,0,0,30,0,0,0,0,0,0,3,4,0,1,WESTERN,BUNGOMA,BUNGOMA,KIMILILI,KIMILILI,KIMILILI,"(0.739634, 34.749663)",
